affinity	n.密切关系;吸引力;姻亲关系;类同|
agar	n.琼脂(一种植物胶)|n.(Agar)人名;(英)阿加;(西、土)阿加尔|
agronomic	adj.农事的;农艺学的|
allergy	n.过敏症;反感;厌恶|
amenable	adj.有责任的：顺从的,服从的;有义务的;经得起检验的|
angiosperms	n.[植]被子植物(angiosperm的复数)|
apical	adj.顶上的;顶点的|n.舌尖音|
beads	玻璃粉|
biomass	n.(单位面积或体积内的)[生态]生物量|
biotin	n.[生化]生物素,维生素H|
centrifuge	n.离心机|v.用离心机分离;使……受离心作用|
chloroplast	n.[植]叶绿体|
coated	adj.上涂料的,上胶的;穿外套的,覆盖着的|v.外面覆盖(coat的过去分词)|
coconut	n.椰子;椰子肉|
collaborate	vi.合作;勾结,通敌|
colonize	vt.将…开拓为殖民地;移于殖民地;从他地非法把选民移入|vi.开拓殖民地;移居于殖民地|
compaction	n.压紧;精简;密封;凝结|
constitutes	v.构成(constitute的单三形式);组成|
cotyledon	n.[植]子叶|
counterparts	n.(契约)副本(counterpart的复数);相对物;相对应的人|
cyclin	n.细胞周期素;细胞周期蛋白|
cytokine	n.[细胞]细胞因子;细胞激素|
deficiency	n.缺陷,缺点;缺乏;不足的数额|
delineate	vt.描绘;描写;画…的轮廓|
depletion	n.消耗;损耗;放血|
dicots	n.双子叶植物(等于dicotyledons,dicot的复数)|
elicit	vt.抽出,引出;引起|
elongation	n.伸长;伸长率;延伸率;延长|
embryo	n.[胚]胚胎;胚芽;初期|adj.胚胎的;初期的|
endogenous	adj.[生物]内生的;内因性的|
endosperm	n.[植]胚乳|
envelope	n.信封,封皮;包膜;[天]包层;包迹|
epidermis	n.上皮,表皮|
expedite	vt.加快;促进;发出|adj.畅通的;迅速的;方便的|
feasibility	n.可行性;可能性|
fertilization	n.[农]施肥;[胚]受精;肥沃|
flatbed	n.长平台;平板车;平台印刷机;(扫描仪等)平台设备|adj.平台的,平板的|
fluorescent	adj.荧光的;萤光的;发亮的|n.荧光;日光灯|
fuses	n.[电]保险丝;起爆装置;[军][矿业]导火线(fuse的复数)|v.熔化;把保险丝接入;保险丝烧断;装引信于(fuse的三单形式)|
gamete	n.[生物]配子,配偶子|
gametes	n.[生物]配子(gamete的复数)|
gametophyte	n.[生物]配子体;配偶体|
glioblastoma	n.恶性胶质瘤;成胶质细胞瘤|
heterosis	n.[遗]杂种优势|
hypersensitive	adj.过敏的;高灵敏度的;超感光度的|
hypochlorite	n.[无化]次氯酸盐;低氧化氯|
hypocotyl	n.子叶下轴,[植]下胚轴|
immunity	n.免疫力;豁免权;免除|
immunology	n.[免疫]免疫学|
inadequate	adj.不充分的,不适当的|
incentive	n.动机;刺激|adj.激励的;刺激的|
infinity	n.无穷;无限大;无限距|
innate	adj.先天的;固有的;与生俱来的|
integration	n.集成;综合|
integument	n.覆盖物;(动植物的)皮肤,外皮|
interleukin-2	白细胞介素-2|
ipilimumab	易普利姆玛(药名)|
lineage	n.血统;家系,[遗]世系|
magnetic	adj.地磁的;有磁性的;有吸引力的|
malignant	adj.[医]恶性的;有害的;有恶意的|n.保王党员;怀恶意的人|
maternal	adj.母亲的;母性的;母系的;母体遗传的|
melanoma	n.[肿瘤]黑素瘤;胎记瘤|
meristem	n.[植]分生组织;分裂组织|
mesophyll	n.[植]叶肉|
metal	n.金属;合金|vt.以金属覆盖|adj.金属制的|n.(Metal)人名;(捷)梅塔尔;(瑞典)梅塔尔|
mitochondrial	adj.线粒体的|
monocots	n.单子叶植物;单子叶植物分支(monocot的复数形式)|
nuclei	n.核心,核子;原子核(nucleus的复数形式)|
orchids	n.[园艺]兰花,淡紫色;称赞(orchid的复数)|
organ	n.器官;机构;风琴;管风琴;嗓音;阴茎|n.(Organ)人名;(英)奥根|
pagination	n.标记页数;页码|
peer	n.同等地位的人,同龄人;贵族|v.凝视,盯着看;隐现;看见;匹配|n.(Peer)(美、爱、英)皮尔(人名)|
peptide	n.肽|
peripheral	adj.外围的;次要的;(神经)末梢区域的|n.外部设备|
phytohormones	[植]植物激素|
plasmid	n.[遗]质粒;质体|
plasticity	n.塑性,可塑性;适应性;柔软性|
plentiful	adj.丰富的;许多的;丰饶的;众多的|
pluripotent	adj.多能(性)的|
primate	n.灵长目动物(包括人、猴子等);大主教;首领|adj.灵长目动物的;大主教的|
primordia	n.原基(primordium的复数形式)|
proliferation	n.增殖,扩散;分芽繁殖|
pronounced	adj.显著的;断然的;讲出来的|v.发音;宣告;断言(pronounce的过去分词)|
proofreading	v.校对(proofread的现在分词)|
pruned	adj.被修剪的(prune的变形)|
self-fertilization	[植]自花受精|[胚][遗]自体受精|
serial	adj.连续的;连载的;分期偿还的;连续作案的|n.电视连续剧;期刊;连载小说|n.(Serial)(阿、美、俄、意、英、法)塞力娅乐(人名)|
shoot	vt.射击,射中;拍摄;发芽;使爆炸;给…注射|vi.射击;发芽;拍电影|n.射击;摄影;狩猎;急流|
siliqua	长壳|[植]长角果|
sodium	n.[化学]钠(11号元素,符号Na)|
somatic	adj.躯体的;肉体的;体壁的|
sown	v.播种;布满;埋雷;传播(sow的过去分词)|
spanning	n.[数]生成,长成;跨越;拉线|v.横跨(span的ing形式);用拃丈量|n.(Spanning)人名;(瑞典)斯潘宁|
spatial	adj.空间的;存在于空间的;受空间条件限制的|
spontaneous	adj.自发的;自然的;无意识的|
sporophytic	孢子体的|
sterilized	adj.无菌的;已消过毒的|v.杀菌;消除;冻结(sterilize的过去分词)|
stratification	n.层理;成层|
substantial	adj.大量的;实质的;内容充实的|n.本质;重要材料|
sucrose	n.[食品][有化]蔗糖|
syncytial	adj.合胞体的,多核体的|
synergistically	协同地|协同作用地|以协同方式|
taped	adj.录在磁带上的;绑住的|v.把……录在磁带上;用胶带粘住、缚紧;用绷带包扎(tape的过去式和过去分词)|
temporal	adj.暂时的;当时的;现世的|n.世间万物;暂存的事物|n.(Temporal)人名;(法)唐波拉尔|
therapeutic	adj.治疗的;治疗学的;有益于健康的|n.治疗剂;治疗学家|
thymic	adj.胸腺的;百里香的,麝香草的|
thymus	n.胸腺|
transgenic	adj.转基因的;基因改造的|
transplantation	n.移植;迁移;移民|
triallelic	三等位基因的
trophoblast	n.[胚]滋养层|
typesetting	v.为……排字(或排版)(typeset的现在分词)|n.排字(工作)|adj.排字用的|
tyrosinase	n.酪氨酸酶|
underpinning	n.基础,基础材料;[矿业]支柱,支承结构;支撑|
undomesticated	adj.不爱做家务的;未驯服的|
univariate	adj.[数]单变量的|
utility	n.实用;效用;公共设施;功用|adj.实用的;通用的;有多种用途的|
vaccinate	vi.接种疫苗|vt.给…注射疫苗|n.被接种牛痘者|
